"name","link","image_path","category"
"ASOS DESIGN boxy relaxed velvet shirt with embroidery border in black","https://www.asos.com/asos-design/asos-design-boxy-relaxed-velvet-shirt-with-embroidery-border-in-black/prd/207109595#colourWayId-207109606","https://images.asos-media.com/products/asos-design-boxy-relaxed-velvet-shirt-with-embroidery-border-in-black/207109595-1-black","Top"
"ASOS DESIGN extreme oversize cropped track jacket in brown fleece","https://www.asos.com/asos-design/asos-design-extreme-oversize-cropped-track-jacket-in-brown-fleece/prd/207834185#colourWayId-207834192","https://images.asos-media.com/products/asos-design-extreme-oversize-cropped-track-jacket-in-brown-fleece/207834185-1-brown","Outerwear"
"Levi's archive ski rodeo back print vintage fit t-shirt in grey marl","https://www.asos.com/levis/levis-archive-ski-rodeo-back-print-vintage-fit-t-shirt-in-grey-marl/prd/206116780#colourWayId-206116781","https://images.asos-media.com/products/levis-archive-ski-rodeo-back-print-vintage-fit-t-shirt-in-grey-marl/206116780-1-greymarl","Top"
"Levi's Jackson check flannel worker shirt in multi","https://www.asos.com/levis/levis-jackson-check-flannel-worker-shirt-in-multi/prd/206122518#colourWayId-206122519","https://images.asos-media.com/products/levis-jackson-check-flannel-worker-shirt-in-multi/206122518-1-multi","Top"
"Levi's original batwing logo stripe t-shirt in dark green","https://www.asos.com/levis/levis-original-batwing-logo-stripe-t-shirt-in-dark-green/prd/206124611#colourWayId-206124627","https://images.asos-media.com/products/levis-original-batwing-logo-stripe-t-shirt-in-dark-green/206124611-1-darkgreen","Top"
"adidas Originals adiFOM IIInfinity sliders in black","https://www.asos.com/adidas-originals/adidas-originals-adifom-iiinfinity-sliders-in-black/prd/206312383#colourWayId-206312384","https://images.asos-media.com/products/adidas-originals-adifom-iiinfinity-sliders-in-black/206312383-1-black","Others"
"Topman premium harrington wool mix salt and pepper suit jacket in black","https://www.asos.com/topman/topman-premium-harrington-wool-mix-salt-and-pepper-suit-jacket-in-black/prd/206534291#colourWayId-206534292","https://images.asos-media.com/products/topman-premium-harrington-wool-mix-salt-and-pepper-suit-jacket-in-black/206534291-1-black","Top"
"Jordan Spizike Low trainers in white and grey","https://www.asos.com/jordan/jordan-spizike-low-trainers-in-white-and-grey/prd/206610684#colourWayId-206610685","https://images.asos-media.com/products/jordan-spizike-low-trainers-in-white-and-grey/206610684-1-white","Shoes"
"Nike Zoom Vomero 5 unisex trainers in dark burgundy","https://www.asos.com/nike/nike-zoom-vomero-5-unisex-trainers-in-dark-burgundy/prd/206631337#colourWayId-206631351","https://images.asos-media.com/products/nike-zoom-vomero-5-unisex-trainers-in-dark-burgundy/206631337-1-burgundy","Shoes"
"Nike Air Max DN trainers in dark burgundy","https://www.asos.com/nike/nike-air-max-dn-trainers-in-dark-burgundy/prd/206631534#colourWayId-206631535","https://images.asos-media.com/products/nike-air-max-dn-trainers-in-dark-burgundy/206631534-1-burgundy","Shoes"
"Carhartt WIP american script sweatshirt in grey","https://www.asos.com/carhartt-wip/carhartt-wip-american-script-sweatshirt-in-grey/prd/206637489#colourWayId-206637557","https://images.asos-media.com/products/carhartt-wip-american-script-sweatshirt-in-grey/206637489-1-grey","Top"
"Carhartt WIP american script sweatshirt in white","https://www.asos.com/carhartt-wip/carhartt-wip-american-script-sweatshirt-in-white/prd/206638030#colourWayId-206638045","https://images.asos-media.com/products/carhartt-wip-american-script-sweatshirt-in-white/206638030-1-white","Top"
"Carhartt WIP myton liner quilted jacket in green","https://www.asos.com/carhartt-wip/carhartt-wip-myton-liner-quilted-jacket-in-green/prd/206638836#colourWayId-206638844","https://images.asos-media.com/products/carhartt-wip-myton-liner-quilted-jacket-in-green/206638836-1-green","Outerwear"
"adidas Originals Rivalry 86 Low trainers in cream and green","https://www.asos.com/adidas-originals/adidas-originals-rivalry-86-low-trainers-in-cream-and-green/prd/206644685#colourWayId-206644708","https://images.asos-media.com/products/adidas-originals-rivalry-86-low-trainers-in-cream-and-green/206644685-1-cream","Shoes"
"Von Duch newark trucker in acid wash grey and yellow","https://www.asos.com/von-dutch/von-duch-newark-trucker-in-acid-wash-grey-and-yellow/prd/206764234#colourWayId-206764250","https://images.asos-media.com/products/von-duch-newark-trucker-in-acid-wash-grey-and-yellow/206764234-1-multi","Others"
"Saucony Originals Shadow 5000 trainers in moon and chocolate","https://www.asos.com/saucony/saucony-originals-shadow-5000-trainers-in-moon-and-chocolate/prd/206792602#colourWayId-206792603","https://images.asos-media.com/products/saucony-originals-shadow-5000-trainers-in-moon-and-chocolate/206792602-1-moon","Shoes"
"Barbour Everitt mule slippers in camel","https://www.asos.com/barbour/barbour-everitt-mule-slippers-in-camel/prd/206835061#colourWayId-206835069","https://images.asos-media.com/products/barbour-everitt-mule-slippers-in-camel/206835061-1-camel","Shoes"
"Barbour Hall quilted slippers in green","https://www.asos.com/barbour/barbour-hall-quilted-slippers-in-green/prd/206835114#colourWayId-206835115","https://images.asos-media.com/products/barbour-hall-quilted-slippers-in-green/206835114-1-olive","Shoes"
"Reclaimed Vintage unisex wide leg oversized joggers in charcoal","https://www.asos.com/reclaimed-vintage/reclaimed-vintage-unisex-oversized-sweat-co-ord-in-charcoal/grp/207876321#colourWayId-206862059&productId-206862058","https://images.asos-media.com/products/reclaimed-vintage-unisex-wide-leg-oversized-joggers-in-charcoal/206862058-1-charcoal","Others"
"Tommy Hilfiger lace up leather boots in black","https://www.asos.com/tommy-hilfiger/tommy-hilfiger-lace-up-leather-boots-in-black/prd/206885379#colourWayId-206885383","https://images.asos-media.com/products/tommy-hilfiger-lace-up-leather-boots-in-black/206885379-1-black","Shoes"
